,P,Q
0,7.88860905221016e-31,1.486720385427983e-07
1,7.88860905221004e-29,2.438962174264809e-07
2,3.904861480844006e-27,3.9613014109573e-07
3,1.275588083742379e-25,6.369828909339788e-07
4,3.093301103075289e-24,1.0140858004452227e-06
5,5.939138117904556e-23,1.5983750467744769e-06
6,9.403635353348723e-22,2.4942485897551474e-06
7,1.2627738903068471e-20,3.853521931013182e-06
8,1.4679746474817013e-19,5.894310227640482e-06
9,1.5005963063146228e-18,8.92617094530064e-06
10,1.365542638746319e-17,1.3383030414223315e-05
11,1.117262158974263e-16,1.986555877348687e-05
12,8.286361012392394e-16,2.919470967694707e-05
13,5.6092289930040604e-15,4.2478051932228865e-05
14,3.4857351599382385e-14,6.119022884726562e-05
15,1.998488158364584e-13,8.726832061302681e-05
16,1.061696834131184e-12,0.0001232219890119193
17,5.2460314157070536e-12,0.0001722569947872011
18,2.4190033750204664e-11,0.0002384089597700325
19,1.0439909302719975e-10,0.00032668209694045915
20,4.2281632676015655e-10,0.00044318510074393025
21,1.6107288638482235e-09,0.0005952535905862057
22,5.783980920182251e-09,0.0007915456218645029
23,1.9615239642357194e-08,0.001042094091741784
24,6.293222718589578e-08,0.0013582977188518668
25,1.91313970645124e-07,0.0017528310758975296
26,5.518672230147828e-07,0.0022394543410145357
27,1.5125249815960546e-06,0.0028327054331262276
28,3.943368702018315e-06,0.0035474613621840857
29,9.790432639493707e-06,0.004398362173931372
30,2.317069058013514e-05,0.0053990998132866916
31,5.232091421320849e-05,0.006561585320241969
32,0.00011281697127223027,0.007895020453786327
33,0.000232471334742778,0.009404913245650147
34,0.00045810527728723993,0.011092089963997388
35,0.0008638556657416476,0.012951767151755816
36,0.00155973939647798,0.01497275533232727
37,0.002697927604718676,0.017136869240940846
38,0.004472879976244128,0.019418616870780607
39,0.007110732269926539,0.02178523046171507
40,0.01084386671163798,0.024197086622871247
41,0.01586907323654335,0.026608540573093736
42,0.02229226954657284,0.02896917224186394
43,0.030068642644214553,0.031225411623752156
44,0.03895255978909616,0.03332247980439818
45,0.04847429662643073,0.0352065532950506
46,0.05795839814029768,0.036827035597983955
47,0.06659049999098023,0.03813880388193751
48,0.07352701040670744,0.03910429229886631
49,0.07802866410507721,0.039695277995131034
50,0.07958923738717877,0.039894251404101355
51,0.07802866410507721,0.039695277995131034
52,0.07352701040670744,0.03910429229886631
53,0.06659049999098024,0.03813880388193751
54,0.05795839814029768,0.036827035597983955
55,0.048474296626430734,0.0352065532950506
56,0.03895255978909616,0.03332247980439818
57,0.030068642644214504,0.031225411623752156
58,0.022292269546572777,0.02896917224186394
59,0.01586907323654335,0.026608540573093736
60,0.010843866711637961,0.024197086622871247
61,0.007110732269926539,0.02178523046171507
62,0.004472879976244128,0.019418616870780607
63,0.002697927604718676,0.017136869240940846
64,0.00155973939647798,0.01497275533232727
65,0.0008638556657416476,0.012951767151755816
66,0.00045810527728723993,0.011092089963997388
67,0.00023247133474277795,0.009404913245650147
68,0.00011281697127223027,0.007895020453786327
69,5.232091421320849e-05,0.006561585320241969
70,2.3170690580135137e-05,0.0053990998132866916
71,9.790432639493707e-06,0.004398362173931372
72,3.943368702018315e-06,0.0035474613621840857
73,1.5125249815960546e-06,0.0028327054331262276
74,5.518672230147828e-07,0.0022394543410145357
75,1.91313970645124e-07,0.0017528310758975296
76,6.293222718589578e-08,0.0013582977188518668
77,1.961523964235719e-08,0.001042094091741784
78,5.78398092018225e-09,0.0007915456218645029
79,1.6107288638482239e-09,0.0005952535905862057
80,4.2281632676015655e-10,0.00044318510074393025
81,1.0439909302719976e-10,0.00032668209694045915
82,2.4190033750204664e-11,0.0002384089597700325
83,5.2460314157070536e-12,0.0001722569947872011
84,1.061696834131184e-12,0.0001232219890119193
85,1.9984881583645844e-13,8.726832061302681e-05
86,3.4857351599382385e-14,6.119022884726562e-05
87,5.609228993004061e-15,4.2478051932228865e-05
88,8.2863610123923925e-16,2.919470967694707e-05
89,1.117262158974263e-16,1.986555877348687e-05
90,1.3655426387463192e-17,1.3383030414223315e-05
91,1.5005963063146224e-18,8.92617094530064e-06
92,1.4679746474817013e-19,5.894310227640482e-06
93,1.2627738903068471e-20,3.853521931013182e-06
94,9.403635353348723e-22,2.4942485897551474e-06
95,5.939138117904558e-23,1.5983750467744769e-06
96,3.093301103075289e-24,1.0140858004452227e-06
97,1.2755880837423788e-25,6.369828909339788e-07
98,3.904861480844006e-27,3.9613014109573e-07
99,7.888609052210037e-29,2.438962174264809e-07
